sender_code,sender_point_id,recipient_point_id,MIN,MAX
2552,781409,646207,8.0,8.0
2552,183502,780800,11.0,11.0
2552,781409,305100,14.0,14.0
2552,803307,782308,30.0,30.0
26192,523505,770005,28.0,28.0
2552,32406,782308,85.0,85.0
216,302507,513306,28.0,39.0
39684,523505,216000,0.0,69.0
36612,515706,625200,58.0,58.0
216,318401,302507,110.0,110.0
456,931505,27802,14.0,28.0
216,648400,302507,55.0,55.0
36612,812005,302507,3.0,3.0
144,794305,592204,3.0,3.0
156,927105,243607,17.0,17.0
216,138206,302507,8.0,8.0
5556,216000,618300,28.0,28.0
26192,801208,770005,3.0,3.0
216,302507,284101,19.0,19.0
26192,253103,770005,14.0,14.0
216,761405,302507,36.0,36.0
2552,761104,782308,41.0,41.0
216,790605,302507,36.0,36.0
216,35508,302507,110.0,110.0
144,592204,250904,3.0,3.0
8804,183502,625605,8.0,8.0
144,592204,523806,25.0,25.0
36612,209100,302600,52.0,52.0
144,592308,438406,27556.0,27556.0
7348,576004,841402,113.0,113.0
2552,781409,779409,8.0,8.0
8804,183502,261307,157.0,157.0
216,302507,780209,22.0,22.0
1104,780800,674103,0.0,28.0
216,274608,302507,8.0,8.0
216,230900,31600,6.0,6.0
11392,982403,235209,0.0,11.0
144,592204,34505,96.0,96.0
216,156505,302507,8.0,8.0
216,238601,302507,41.0,110.0
36612,828501,625200,8.0,8.0
31820,887603,967808,55.0,55.0
216,35004,31600,3.0,3.0
8804,183502,180203,30.0,30.0
144,587206,592204,8.0,8.0
216,231602,302507,3.0,3.0
216,271309,302507,3.0,3.0
26192,180203,770005,28.0,28.0
13788,980906,864809,0.0,276.0
39684,523505,35809,0.0,14.0
144,592204,238601,61.0,61.0
216,657803,302507,33.0,33.0
2552,781409,887904,3.0,3.0
36612,522108,302507,17.0,17.0
36612,613400,625200,19.0,19.0
120,150000,193307,28.0,83.0
144,592204,190807,44.0,44.0
5556,516200,618300,14.0,14.0
2552,183606,782308,124.0,124.0
216,827805,302507,3.0,3.0
216,302507,195406,17.0,17.0
11392,982102,235209,0.0,3.0
144,261203,592204,33.0,33.0
144,592204,262704,17.0,17.0
8804,183502,255409,25.0,25.0
36612,223803,625200,3.0,3.0
216,851207,302507,6.0,6.0
36612,633300,302600,22.0,22.0
2552,648400,780800,14.0,14.0
2552,794305,782308,88.0,88.0
26192,851508,864207,17.0,17.0
36612,600102,625200,14.0,14.0
31820,887603,795401,47.0,47.0
36612,201700,625200,3.0,3.0
36612,691306,302507,3.0,3.0
144,592204,240000,28.0,28.0
2552,781409,883809,3.0,3.0
31820,618809,531107,44.0,44.0
216,154800,302507,6.0,6.0
216,860009,302507,6.0,6.0
20484,985702,863100,0.0,207.0
2552,250904,782308,30.0,30.0
216,638003,302507,19.0,19.0
36612,646902,302600,14.0,14.0
13256,891806,648400,0.0,28.0
216,864103,302507,41.0,41.0
26192,800101,770005,28.0,28.0
39684,761405,625107,0.0,6.0
2552,790408,780800,47.0,47.0
216,302507,27802,7716.0,7991.0
36612,614808,625200,14.0,14.0
144,573909,592204,3.0,3.0
2552,781409,647801,47.0,47.0
